Agate (玛瑙)
Albite (钠长石)
Almandine (铁铝榴石)
Anglesite (硫酸铅矿)
Azurite (蓝铜矿)
Beryl (绿柱石)
Cassiterite (锡石矿)
Chalcopyrite (黄铜矿)
Cinnabar (辰砂)
Copper (铜)
Demantoid (翠榴石)
Diopside (透辉石)
Elbaite (锂电气石)
Epidote (绿帘石)
Fluorite (萤石)
Galena (方铅矿)
Gold (金)
Halite (石盐)
Hematite (赤铁矿)
Magnetite (磁铁矿)
Malachite (孔雀石)
Marcasite (白铁矿)
Opal (蛋白石)
Orpiment (雌黄)
Pyrite (黄铁矿)
Quartz (石英)
Rhodochrosite (菱锰矿)
Ruby (红宝石)
Sapphire (蓝宝石)
Schorl (黑电气石)
Sphalerite (闪锌矿)
Stibnite (辉锑矿)
Sulphur (硫磺)
Topaz (黄玉)
Torbernite (铜铀云母)
Wulfenite (钼铅矿)
